Data,Hora,Usuario,Status,Lista,Mensagem,Arquivo
2026-01-06,21:23:35,Tiago Abreu,ENVIADO,MULTIPLAS,aaaaaaa Tiago Abreu,WhatsApp Image 2026-01-05 at 13.15.43.jpeg
2026-01-06,21:23:39,compras,ENVIADO,MULTIPLAS,aaaaaaa compras,WhatsApp Image 2026-01-05 at 13.15.43.jpeg
2026-01-06,21:23:42,comercial,ENVIADO,MULTIPLAS,aaaaaaa comercial,WhatsApp Image 2026-01-05 at 13.15.43.jpeg
