Data,Hora,Usuario,Status,Lista,Mensagem,Arquivo
2026-01-06,21:44:44,Tiago Abreu,ENVIADO,MULTIPLAS,wow Tiago Abreu,PL_ETIQUETAS_T237_ATUAL.csv
2026-01-06,21:44:47,compras,ENVIADO,MULTIPLAS,wow compras,PL_ETIQUETAS_T237_ATUAL.csv
2026-01-06,21:44:50,comercial,ENVIADO,MULTIPLAS,wow comercial,PL_ETIQUETAS_T237_ATUAL.csv
