ORDEM;LOTE;PRODUTO;SITUACAO;COR;DESENHO;VARIANTE;CATEGORIA;NRO_ROLO;METROS;PESO_BRUTO;PESO_LIQUIDO;LARGURA;NRO;ROLO_PL;NRO_PECA;AVISO;FORNECEDOR;TEAR;Num_Etq_Aux
000014;T237L3;000014;001;00005;00000;00000;01;0000266303;98,9;30,4;30,0;1,40;41;41;001;000249;W;000041;W000041266303001
000014;T237L3;000014;001;00005;00000;00000;01;0000266304;93,4;28,7;28,3;1,40;42;42;001;000249;W;000042;W000042266304001
000014;T237L3;000014;001;00005;00000;00000;01;0000266305;101,2;31,1;30,7;1,40;43;43;001;000249;W;000043;W000043266305001
000014;T237L3;000014;001;00005;00000;00000;01;0000266306;68,8;21,2;20,8;1,40;44;44;001;000249;W;000044;W000044266306001
000014;T237L3;000014;001;00005;00000;00000;01;0000266307;100,1;30,7;30,3;1,40;45;45;001;000249;W;000045;W000045266307001
000014;T237L3;000014;001;00005;00000;00000;01;0000266308;98,4;30,2;29,8;1,40;46;46;001;000249;W;000046;W000046266308001
000014;T237L3;000014;001;00005;00000;00000;01;0000266309;100,2;30,8;30,4;1,40;47;47;001;000249;W;000047;W000047266309001
000014;T237L3;000014;001;00005;00000;00000;01;0000266310;98;30,1;29,7;1,40;48;48;001;000249;W;000048;W000048266310001
000014;T237L3;000014;001;00005;00000;00000;01;0000266311;101,5;31,2;30,8;1,40;49;49;001;000249;W;000049;W000049266311001
000014;T237L3;000014;001;00005;00000;00000;01;0000266312;98;30,1;29,7;1,40;50;50;001;000249;W;000050;W000050266312001
000014;T237L3;000014;001;00005;00000;00000;01;0000266313;103,6;31,8;31,4;1,40;51;51;001;000249;W;000051;W000051266313001
000014;T237L3;000014;001;00005;00000;00000;01;0000266314;94,7;29,1;28,7;1,40;52;52;001;000249;W;000052;W000052266314001
000014;T237L3;000014;001;00005;00000;00000;01;0000266315;100,6;30,9;30,5;1,40;53;53;001;000249;W;000053;W000053266315001
000014;T237L3;000014;001;00005;00000;00000;01;0000266316;103,9;31,9;31,5;1,40;54;54;001;000249;W;000054;W000054266316001
000014;T237L3;000014;001;00005;00000;00000;01;0000266317;100,7;30,9;30,5;1,40;55;55;001;000249;W;000055;W000055266317001
000014;T237L3;000014;001;00005;00000;00000;01;0000266318;97,5;29,9;29,5;1,40;56;56;001;000249;W;000056;W000056266318001
000014;T237L3;000014;001;00005;00000;00000;01;0000266319;100,6;30,9;30,5;1,40;57;57;001;000249;W;000057;W000057266319001
000014;T237L3;000014;001;00005;00000;00000;01;0000266320;88;27,1;26,7;1,40;58;58;001;000249;W;000058;W000058266320001
000014;T237L3;000014;001;00005;00000;00000;01;0000266321;78;24,0;23,6;1,40;59;59;001;000249;W;000059;W000059266321001
000014;T237L3;000014;001;00005;00000;00000;01;0000266322;99,7;30,6;30,2;1,40;60;60;001;000249;W;000060;W000060266322001
000014;T237L4;000014;001;00005;00000;00000;01;0000266323;100,9;31,0;30,6;1,40;61;61;001;000249;W;000061;W000061266323001
000014;T237L4;000014;001;00005;00000;00000;01;0000266324;84,5;26,0;25,6;1,40;62;62;001;000249;W;000062;W000062266324001
000014;T237L4;000014;001;00005;00000;00000;01;0000266325;101,5;31,2;30,8;1,40;63;63;001;000249;W;000063;W000063266325001
000014;T237L4;000014;001;00005;00000;00000;01;0000266326;89,9;27,6;27,2;1,40;64;64;001;000249;W;000064;W000064266326001
000014;T237L4;000014;001;00005;00000;00000;01;0000266327;101,3;31,1;30,7;1,40;65;65;001;000249;W;000065;W000065266327001
000014;T237L4;000014;001;00005;00000;00000;01;0000266328;97;29,8;29,4;1,40;66;66;001;000249;W;000066;W000066266328001
000014;T237L4;000014;001;00005;00000;00000;01;0000266329;101,6;31,2;30,8;1,40;67;67;001;000249;W;000067;W000067266329001
000014;T237L4;000014;001;00005;00000;00000;01;0000266330;86,4;26,6;26,2;1,40;68;68;001;000249;W;000068;W000068266330001
000014;T237L4;000014;001;00005;00000;00000;01;0000266331;100,3;30,8;30,4;1,40;69;69;001;000249;W;000069;W000069266331001
000014;T237L4;000014;001;00005;00000;00000;01;0000266332;97,5;29,9;29,5;1,40;70;70;001;000249;W;000070;W000070266332001
000014;T237L4;000014;001;00005;00000;00000;01;0000266333;98,9;30,4;30,0;1,40;71;71;001;000249;W;000071;W000071266333001
000014;T237L4;000014;001;00005;00000;00000;01;0000266334;81,8;25,2;24,8;1,40;72;72;001;000249;W;000072;W000072266334001
000014;T237L4;000014;001;00005;00000;00000;01;0000266335;102,3;31,4;31,0;1,40;73;73;001;000249;W;000073;W000073266335001
000014;T237L4;000014;001;00005;00000;00000;01;0000266336;80,5;24,8;24,4;1,40;74;74;001;000249;W;000074;W000074266336001
000014;T237L4;000014;001;00005;00000;00000;01;0000266337;100;30,7;30,3;1,40;75;75;001;000249;W;000075;W000075266337001
000014;T237L4;000014;001;00005;00000;00000;01;0000266338;94,1;28,9;28,5;1,40;76;76;001;000249;W;000076;W000076266338001
